,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,perturbed_statement,evaluation_output
61,"With the extension of the new [[contract]] for a further eight engines , the plant will now [[produce]] over 100 MW , it said .","With the extension of the new [[treaty]] for a further eight engines , the plant will now [[making]] over 100 MW , it said .",0.0006594061851501,0.8163305521011353,2,1,2,99,Successful,"With the extension of the new treaty for a further eight engines , the plant will now making over 100 MW , it said .",1
62,"`` The second quarter of 2010 was the firstquarter with [[growth]] in [[net]] sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent [[CEO]] .","`` The second quarter of 2010 was the firstquarter with [[soar]] in [[neta]] sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent [[COO]] .",0.0005601048469543,0.9947890043258668,2,1,2,73,Successful,"`` The second quarter of 2010 was the firstquarter with soar in neta sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent COO .",1
63,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating [[profit]] [[grew]] to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating [[revenues]] [[hike]] to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,0.0006306767463684,0.9687445759773254,2,0,2,108,Successful,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating revenues hike to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,0
64,[[Finnish]] Componenta [[has]] published its new long-term strategy for the [[period]] 2011-2015 with the aim of growing [[together]] with its customers .,[[Norwegian]] Componenta [[did]] published its new long-term strategy for the [[maturity]] 2011-2015 with the aim of growing [[assembly]] with its customers .,0.0039465427398681,0.6709100008010864,1,2,1,77,Successful,Norwegian Componenta did published its new long-term strategy for the maturity 2011-2015 with the aim of growing assembly with its customers .,2
65,Affecto expects its net sales for the whole 2010 to [[increase]] from the 2009 level when they reached EUR 103 million .,Affecto expects its net sales for the whole 2010 to [[redouble]] from the 2009 level when they reached EUR 103 million .,0.0005225539207458,0.7921279668807983,2,0,2,62,Successful,Affecto expects its net sales for the whole 2010 to redouble from the 2009 level when they reached EUR 103 million .,0
66,"Elisa said mobile subscriptions [[grew]] 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .","Elisa said mobile subscriptions [[croissant]] 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",0.0005840063095092,0.9974557757377625,2,1,2,67,Successful,"Elisa said mobile subscriptions croissant 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",1
67,"However , the proportion of the paid standing orders [[grew]] in 2009 .","However , the proportion of the paid standing orders [[enlarge]] in 2009 .",0.0006595253944396,0.9992828369140624,2,1,2,54,Successful,"However , the proportion of the paid standing orders enlarge in 2009 .",1
68,"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian [[brewery]] 's sales reached 15.04 million euros [[last]] [[year]] , a [[rise]] of 20.4 percent from 12.49 million euros in 2004 .","Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian [[brasserie]] 's sales reached 15.04 million euros [[ultima]] [[olds]] , a [[hike]] of 20.4 percent from 12.49 million euros in 2004 .",0.0005967617034912,0.7856009006500244,2,0,2,124,Successful,"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brasserie 's sales reached 15.04 million euros ultima olds , a hike of 20.4 percent from 12.49 million euros in 2004 .",0
69,Olvi expects sales and market share to [[increase]] in the first quarter of 2010 .,Olvi expects sales and market share to [[hiked]] in the first quarter of 2010 .,0.0005160570144653,0.9990819692611694,2,0,2,59,Successful,Olvi expects sales and market share to hiked in the first quarter of 2010 .,0
70,Operating [[profit]] [[increased]] to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,Operating [[wages]] [[hiked]] to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,0.0006361603736877,0.976570188999176,2,0,2,111,Successful,Operating wages hiked to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,0
71,Operating profit of the Asian plants [[grew]] [[markedly]] .,Operating profit of the Asian plants [[grown]] [[conspicuously]] .,0.0005853176116943,0.9992098212242126,2,1,2,106,Successful,Operating profit of the Asian plants grown conspicuously .,1
72,Sales in Finland [[rose]] by 3.9 % and international growth was 0.7 % .,Sales in Finland [[hiked]] by 3.9 % and international growth was 0.7 % .,0.0005885362625122,0.9689505100250244,2,0,2,60,Successful,Sales in Finland hiked by 3.9 % and international growth was 0.7 % .,0
73,"The company is now [[intensifying]] its [[smelter]] operations and increasing its annual production [[capacity]] to 230,000 [[tonnes]] of copper .","The company is now [[spiraling]] its [[refinery]] operations and increasing its annual production [[remit]] to 230,000 [[shitloads]] of copper .",0.0005510449409484,0.5449703931808472,2,0,2,132,Successful,"The company is now spiraling its refinery operations and increasing its annual production remit to 230,000 shitloads of copper .",0
74,"The company said that its investments in the new market areas resulted in sales [[increase]] in Sweden , Poland , Russia and Lithuania .","The company said that its investments in the new market areas resulted in sales [[hiked]] in Sweden , Poland , Russia and Lithuania .",0.0005239844322204,0.9992097020149232,2,0,2,64,Successful,"The company said that its investments in the new market areas resulted in sales hiked in Sweden , Poland , Russia and Lithuania .",0
75,"The disposal of Autotank will also [[strengthen]] Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .","The disposal of Autotank will also [[redouble]] Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",0.0005720257759094,0.8966790437698364,2,0,2,64,Successful,"The disposal of Autotank will also redouble Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",0
76,The pretax [[profit]] of the group 's life insurance business [[increased]] to EUR 36 million from EUR 27 million .,The pretax [[income]] of the group 's life insurance business [[hiked]] to EUR 36 million from EUR 27 million .,0.0007846355438232,0.962867021560669,2,0,2,112,Successful,The pretax income of the group 's life insurance business hiked to EUR 36 million from EUR 27 million .,0
77,The pretax profit of the group 's life insurance business [[increased]] to EUR36m from EUR27m .,The pretax profit of the group 's life insurance business [[raising]] to EUR36m from EUR27m .,0.0007553100585937,0.9695813655853271,2,1,2,61,Successful,The pretax profit of the group 's life insurance business raising to EUR36m from EUR27m .,1
78,"Xerox and Stora Enso have [[teamed]] up to tailor the iGen3 to the short-run , on-demand packaging market .","Xerox and Stora Enso have [[cooperatives]] up to tailor the iGen3 to the short-run , on-demand packaging market .",0.0006329417228698,0.9836097955703736,2,1,2,39,Successful,"Xerox and Stora Enso have cooperatives up to tailor the iGen3 to the short-run , on-demand packaging market .",1
79,"As previously announced , GeoSentric Oyj entered into financing agreements with its lead investor on June 30 , 2010 enabling the Company to receive financing up to the aggregate amount of 6M .","As previously announced , GeoSentric Oyj entered into financing agreements with its lead investor on June 30 , 2010 enabling the Company to receive financing up to the aggregate amount of 6M .",0.9835703372955322,0.9835703372955322,2,2,1,1,Skipped,"As previously announced , GeoSentric Oyj entered into financing agreements with its lead investor on June 30 , 2010 enabling the Company to receive financing up to the aggregate amount of 6M .",2
80,"Separately , YIT Corporation and Austrian firm E AG last week [[signed]] an [[agreement]] on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .","Separately , YIT Corporation and Austrian firm E AG last week [[signer]] an [[arranging]] on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .",0.0006916522979736,0.9630804061889648,2,1,2,79,Successful,"Separately , YIT Corporation and Austrian firm E AG last week signer an arranging on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .",1
81,The company intends to [[raise]] production capacity in 2006 .,The company intends to [[hike]] production capacity in 2006 .,0.0005413889884948,0.999151885509491,2,0,2,58,Successful,The company intends to hike production capacity in 2006 .,0
82,"[[As]] [[earlier]] [[reported]] , Nokian [[Tyres]] is building a [[plant]] in the town of Vsevolozhsk in Russia 's [[Leningrad]] Region with an annual [[production]] [[capacity]] of 4 million tires .","[[Because]] [[lately]] [[cautioned]] , Nokian [[Wheeled]] is building a [[amenities]] in the town of Vsevolozhsk in Russia 's [[Ussr]] Region with an annual [[productivity]] [[suitability]] of 4 million tires .",0.000551164150238,0.5740852355957031,1,2,1,181,Successful,"Because lately cautioned , Nokian Wheeled is building a amenities in the town of Vsevolozhsk in Russia 's Ussr Region with an annual productivity suitability of 4 million tires .",2
83,"Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % .","Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % .",0.8345324397087097,0.8345324397087097,0,0,1,1,Skipped,"Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % .",0
84,Finnish business software group AffectoGenimap Oyj said it had signed an [[agreement]] to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .,Finnish business software group AffectoGenimap Oyj said it had signed an [[agreed]] to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .,0.0051883459091186,0.5098265409469604,2,1,2,63,Successful,Finnish business software group AffectoGenimap Oyj said it had signed an agreed to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .,1
85,"In Russia , Raisio 's Food Division 's home market [[stretches]] all the way to Vladivostok .","In Russia , Raisio 's Food Division 's home market [[widens]] all the way to Vladivostok .",0.0026145577430725,0.937886357307434,1,2,1,44,Successful,"In Russia , Raisio 's Food Division 's home market widens all the way to Vladivostok .",2
86,Increase in the number of shares is [[based]] on the option rights which were granted to the management of the company under the stock option plan 2006 .,Increase in the number of shares is [[anchored]] on the option rights which were granted to the management of the company under the stock option plan 2006 .,0.0008354187011718,0.6288599371910095,1,2,1,50,Successful,Increase in the number of shares is anchored on the option rights which were granted to the management of the company under the stock option plan 2006 .,2
87,"is planning to [[expand]] its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland .","is planning to [[enlarging]] its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland .",0.0027611255645751,0.9993680715560912,2,1,2,65,Successful,"is planning to enlarging its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland .",1
88,Ramirent s Danish subsidiary Ramirent A-S has today signed an [[agreement]] to acquire the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,Ramirent s Danish subsidiary Ramirent A-S has today signed an [[unanimity]] to acquire the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,0.0006103515625,0.9654850959777832,2,1,2,56,Successful,Ramirent s Danish subsidiary Ramirent A-S has today signed an unanimity to acquire the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,1
89,"The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , developing all [[types]] of premium residential and commercial projects for sale and investment .","The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , developing all [[tipo]] of premium residential and commercial projects for sale and investment .",0.0083664655685424,0.6037029027938843,1,2,1,70,Successful,"The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , developing all tipo of premium residential and commercial projects for sale and investment .",2
90,"The contract , which was signed [[yesterday]] , will run for five [[years]] and [[includes]] a two-year extension option .","The contract , which was signed [[today]] , will run for five [[yrs]] and [[realizes]] a two-year extension option .",0.0020047426223754,0.5419961214065552,1,2,1,89,Successful,"The contract , which was signed today , will run for five yrs and realizes a two-year extension option .",2
91,"The [[contract]] [[covers]] installation , training and start-up services .","The [[agreement]] [[extends]] installation , training and start-up services .",0.0005089044570922,0.8990448117256165,1,2,1,83,Successful,"The agreement extends installation , training and start-up services .",2
92,"[[The]] OMX [[Nordic]] 40 ( OMXN40 ) [[index]] , [[comprising]] the 40 most [[traded]] [[Nordic]] [[stocks]] on the Nasdaq OMX [[exchange]] , [[closed]] up 1.29 % at 1,084.47 [[points]] on [[Friday]] .","[[Both]] OMX [[Viking]] 40 ( OMXN40 ) [[indicators]] , [[implicating]] the 40 most [[shuffled]] [[Norwegian]] [[stockpiling]] on the Nasdaq OMX [[exchanges]] , [[shuts]] up 1.29 % at 1,084.47 [[subjects]] on [[Mondays]] .",0.0005702376365661,0.8989784121513367,2,1,2,272,Successful,"Both OMX Viking 40 ( OMXN40 ) indicators , implicating the 40 most shuffled Norwegian stockpiling on the Nasdaq OMX exchanges , shuts up 1.29 % at 1,084.47 subjects on Mondays .",1
93,To be number one [[means]] creating added value for stakeholders in everything we do .,To be number one [[midst]] creating added value for stakeholders in everything we do .,0.0014562606811523,0.9410770535469056,1,2,1,52,Successful,To be number one midst creating added value for stakeholders in everything we do .,2
94,"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has [[signed]] a China mobile phone dealer financing [[agreement]] with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR","- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has [[countersigned]] a China mobile phone dealer financing [[accord]] with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR",0.0006109476089477,0.7020400762557983,2,1,2,88,Successful,"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has countersigned a China mobile phone dealer financing accord with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR",1
95,`` Residentialconstruction in particular has [[picked]] up in several markets .,`` Residentialconstruction in particular has [[takes]] up in several markets .,0.0006418824195861,0.9994171857833862,2,1,2,50,Successful,`` Residentialconstruction in particular has takes up in several markets .,1
96,"After the transaction , Alma Media [[raised]] its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .","After the transaction , Alma Media [[referred]] its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",0.0005412697792053,0.9996243715286256,2,1,2,66,Successful,"After the transaction , Alma Media referred its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",1
97,"ALEXANDRIA , Va. , July 11 -- Hannu Kahonen of Juuka , Finland , has [[developed]] an ornamental design for a [[handle]] for fire pit door , the [[U]].S. Patent & Trademark Office [[announced]] .","ALEXANDRIA , Va. , July 11 -- Hannu Kahonen of Juuka , Finland , has [[grown]] an ornamental design for a [[deal]] for fire pit door , the [[xin]].S. Patent & Trademark Office [[proclaims]] .",0.0014619827270507,0.7751262187957764,1,2,1,164,Successful,"ALEXANDRIA , Va. , July 11 -- Hannu Kahonen of Juuka , Finland , has grown an ornamental design for a deal for fire pit door , the xin.S. Patent & Trademark Office proclaims .",2
98,"ALEXANDRIA , [[Va]]. , May 16 -- [[Kenneth]] Bower of [[Vista]] , Calif. , [[has]] [[developed]] an [[ornamental]] [[design]] for a [[handset]] , the [[U]].S. [[Patent]] & [[Trademark]] [[Office]] [[announced]] .","ALEXANDRIA , [[Will]]. , May 16 -- [[Kent]] Bower of [[Believe]] , Calif. , [[was]] [[established]] an [[embellished]] [[formulation]] for a [[mobiles]] , the [[liu]].S. [[Patents]] & [[Mt]] [[Department]] [[proclaiming]] .",0.0010395050048828,0.667913556098938,1,2,1,324,Successful,"ALEXANDRIA , Will. , May 16 -- Kent Bower of Believe , Calif. , was established an embellished formulation for a mobiles , the liu.S. Patents & Mt Department proclaiming .",2
99,Calls to the switchboard and directory services have [[decreased]] significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,Calls to the switchboard and directory services have [[decrease]] significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,0.062817096710205,0.8899755477905273,1,0,1,67,Successful,Calls to the switchboard and directory services have decrease significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,0
100,[[Following]] the increase the company+óEUR TM s capital [[totals]] 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,[[Resultant]] the increase the company+óEUR TM s capital [[aggregate]] 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,0.0008013844490051,0.8753905892372131,1,2,1,47,Successful,Resultant the increase the company+óEUR TM s capital aggregate 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,2
101,"In 2008 , it generated [[net]] sales of EUR 9.3 million [[USD]] 13.1 [[m]] .","In 2008 , it generated [[cordoned]] sales of EUR 9.3 million [[CENTS]] 13.1 [[mio]] .",0.0006322264671325,0.8862940073013306,1,0,1,66,Successful,"In 2008 , it generated cordoned sales of EUR 9.3 million CENTS 13.1 mio .",0
102,"In August , Latvijas Finieris [[ordered]] all production lines for a new green veneer mill to be built in Ukmerge , Lithuania .","In August , Latvijas Finieris [[condemned]] all production lines for a new green veneer mill to be built in Ukmerge , Lithuania .",0.0015560984611511,0.5906046628952026,1,0,1,36,Successful,"In August , Latvijas Finieris condemned all production lines for a new green veneer mill to be built in Ukmerge , Lithuania .",0
103,Jacobs has been supporting Storengy 's investment of developing storage sites [[since]] 2006 as [[owner]] 's [[engineer]] .,Jacobs has been supporting Storengy 's investment of developing storage sites [[than]] 2006 as [[owners]] 's [[talented]] .,0.0007004737854003,0.6790412664413452,1,2,1,63,Successful,Jacobs has been supporting Storengy 's investment of developing storage sites than 2006 as owners 's talented .,2
104,One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and [[halt]] production .,One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and [[dangle]] production .,0.0021750926971435,0.6215183734893799,0,1,0,60,Successful,One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and dangle production .,1
105,Rental of building equipment [[accounted]] for 88 percent of the [[operating]] income .,Rental of building equipment [[summed]] for 88 percent of the [[jobs]] income .,0.0005735158920288,0.6415821313858032,1,2,1,68,Successful,Rental of building equipment summed for 88 percent of the jobs income .,2
106,Sanoma will continue to [[focus]] on investing in digital media and on strengthening its [[market]] positions .,Sanoma will continue to [[limelight]] on investing in digital media and on strengthening its [[marketplace]] positions .,0.0019049048423767,0.5860029458999634,1,2,1,87,Successful,Sanoma will continue to limelight on investing in digital media and on strengthening its marketplace positions .,2
107,"The [[acquisition]] is [[part]] of Suomen Helasto 's strategy to expand the LukkoExpert [[Security]] [[chain]] , Suomen Helasto [[CEO]] Kimmo Uusimaki [[said]] .","The [[gained]] is [[element]] of Suomen Helasto 's strategy to expand the LukkoExpert [[Securing]] [[lines]] , Suomen Helasto [[CEOS]] Kimmo Uusimaki [[remarked]] .",0.0013343095779418,0.9807491302490234,1,2,1,189,Successful,"The gained is element of Suomen Helasto 's strategy to expand the LukkoExpert Securing lines , Suomen Helasto CEOS Kimmo Uusimaki remarked .",2
108,"The [[corresponding]] share capital increase , EUR 1,012,945.50 was [[entered]] in the Trade Register today .","The [[matched]] share capital increase , EUR 1,012,945.50 was [[intruded]] in the Trade Register today .",0.0008248686790466,0.9533328413963318,1,2,1,79,Successful,"The matched share capital increase , EUR 1,012,945.50 was intruded in the Trade Register today .",2
109,The expansion includes the [[doubling]] of the floor space and the addition of more lifting capacity and production equipment .,The expansion includes the [[doubly]] of the floor space and the addition of more lifting capacity and production equipment .,0.1708084940910339,0.6136361360549927,2,1,2,43,Successful,The expansion includes the doubly of the floor space and the addition of more lifting capacity and production equipment .,1
110,The phones are [[targeted]] at first time users in growth markets .,The phones are [[fated]] at first time users in growth markets .,0.0011754631996154,0.9131390452384948,1,2,1,53,Successful,The phones are fated at first time users in growth markets .,2
111,"The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to [[collect]] irrevocable selling commitments from the holders of its subordinated debenture bonds .","The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to [[accumulated]] irrevocable selling commitments from the holders of its subordinated debenture bonds .",0.0006352066993713,0.6535714864730835,1,2,1,71,Successful,"The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to accumulated irrevocable selling commitments from the holders of its subordinated debenture bonds .",2
112,"The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should [[double]] Atria Russia 's production capacity in the St Petersburg area .","The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should [[twice]] Atria Russia 's production capacity in the St Petersburg area .",0.0006517767906188,0.9104901552200316,2,1,2,51,Successful,"The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should twice Atria Russia 's production capacity in the St Petersburg area .",1
113,U.[[S]]. District [[Judge]] Douglas P. Woodlock [[yesterday]] extended a Jan. 17 temporary restraining order until [[March]] 7 .,U.[[rs]]. District [[Qazi]] Douglas P. Woodlock [[wednesday]] extended a Jan. 17 temporary restraining order until [[Marr]] 7 .,0.0029121041297912,0.5646482706069946,1,0,1,96,Successful,U.rs. District Qazi Douglas P. Woodlock wednesday extended a Jan. 17 temporary restraining order until Marr 7 .,0
114,"UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - The British miniature antennas maker Sarantel [[has]] signed an agreement to [[outsource]] its assembly test and supply [[chain]] processes to the plant of Elcoteq in the Estonian capital Tallinn .","UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - The British miniature antennas maker Sarantel [[enjoys]] signed an agreement to [[contractors]] its assembly test and supply [[chains]] processes to the plant of Elcoteq in the Estonian capital Tallinn .",0.0006215572357177,0.5953017473220825,1,2,1,78,Successful,"UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - The British miniature antennas maker Sarantel enjoys signed an agreement to contractors its assembly test and supply chains processes to the plant of Elcoteq in the Estonian capital Tallinn .",2
115,"[[Earnings]] per [[share]] ( EPS ) for the first [[quarter]] 2007 [[amounted]] to EUR0 .07 , up from EUR0 .04 .","[[Payroll]] per [[interchange]] ( EPS ) for the first [[semester]] 2007 [[counted]] to EUR0 .07 , up from EUR0 .04 .",0.0007144808769226,0.000959575176239,2,2,2,126,Failed,"Payroll per interchange ( EPS ) for the first semester 2007 counted to EUR0 .07 , up from EUR0 .04 .",2
116,"Ruukki Romania , the local arm of Finnish metal producer Ruukki , [[increased]] its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .","Ruukki Romania , the local arm of Finnish metal producer Ruukki , [[raise]] its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .",0.0005137920379638,0.9924076795578004,2,1,2,72,Successful,"Ruukki Romania , the local arm of Finnish metal producer Ruukki , raise its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .",1
117,[[The]] [[growth]] of [[net]] [[sales]] [[has]] continued favourably in the [[Middle]] East and Africaand in Asia [[Pacific]] .,[[Both]] [[soars]] of [[netted]] [[salacious]] [[did]] continued favourably in the [[Orient]] East and Africaand in Asia [[Pacifists]] .,0.0006042718887329,0.5546401739120483,2,1,2,137,Successful,Both soars of netted salacious did continued favourably in the Orient East and Africaand in Asia Pacifists .,1
118,"[[Following]] the increase , Huhtamaki Oyj 's registered [[share]] capital is EUR 358,706,290.00 and the [[number]] of shares [[outstanding]] is 105,501,850 .","[[Trailing]] the increase , Huhtamaki Oyj 's registered [[proportion]] capital is EUR 358,706,290.00 and the [[chiffre]] of shares [[excellent]] is 105,501,850 .",0.0005556941032409,0.9738809466362,1,2,1,72,Successful,"Trailing the increase , Huhtamaki Oyj 's registered proportion capital is EUR 358,706,290.00 and the chiffre of shares excellent is 105,501,850 .",2
119,"[[Following]] this increase Huhtamaki 's registered [[share]] capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .","[[Resultant]] this increase Huhtamaki 's registered [[shares]] capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .",0.0006755590438842,0.7086251974105835,1,2,1,42,Successful,"Resultant this increase Huhtamaki 's registered shares capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .",2
120,"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and [[has]] the [[sole]] authority to develop discovered compounds .","Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and [[got]] the [[seul]] authority to develop discovered compounds .",0.0010554194450378,0.690759539604187,1,2,1,82,Successful,"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and got the seul authority to develop discovered compounds .",2
121,"`` Our extensive co-operation [[will]] also [[bolster]] SysOpen Digia 's [[position]] in the domestic operator market , '' Kallioranta adds .","`` Our extensive co-operation [[va]] also [[favouring]] SysOpen Digia 's [[visualise]] in the domestic operator market , '' Kallioranta adds .",0.0005948543548583,0.97770094871521,2,1,2,128,Successful,"`` Our extensive co-operation va also favouring SysOpen Digia 's visualise in the domestic operator market , '' Kallioranta adds .",1
122,"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's [[market]] share from 27 % to a third in a couple of years .","Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's [[marketed]] share from 27 % to a third in a couple of years .",0.0132364630699157,0.9604979753494264,2,1,2,28,Successful,"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's marketed share from 27 % to a third in a couple of years .",1
123,"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been [[awarded]] an [[order]] for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .","Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been [[appropriated]] an [[behest]] for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .",0.0006247162818908,0.6459451913833618,2,1,2,79,Successful,"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been appropriated an behest for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .",1
124,"Bilfinger investors cheered the [[agreement]] , pushing [[shares]] up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in [[afternoon]] [[trade]] .","Bilfinger investors cheered the [[unanimity]] , pushing [[dividing]] up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in [[tonight]] [[exchanged]] .",0.000573992729187,0.7364357113838196,2,1,2,142,Successful,"Bilfinger investors cheered the unanimity , pushing dividing up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in tonight exchanged .",1
125,"CDP was [[established]] on the initiative of institutional investors ; however , the annually [[published]] results also [[interest]] an increasing [[number]] of customers and other interest groups of the [[reporting]] companies .","CDP was [[introduced]] on the initiative of institutional investors ; however , the annually [[disseminated]] results also [[germane]] an increasing [[numero]] of customers and other interest groups of the [[rapport]] companies .",0.0005887746810913,0.8763158321380615,1,2,1,190,Successful,"CDP was introduced on the initiative of institutional investors ; however , the annually disseminated results also germane an increasing numero of customers and other interest groups of the rapport companies .",2
126,The [[original]] contract was [[signed]] last summer .,The [[indigenous]] contract was [[ratified]] last summer .,0.0016957521438598,0.909842848777771,1,2,1,39,Successful,The indigenous contract was ratified last summer .,2
127,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .","` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",0.9974968433380128,0.9974968433380128,2,2,1,1,Skipped,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",2
